Combos,Hand,W,T,L
6,AA,1781508418,11402312,304661670
6,KK,1722470558,11676960,363424882
6,QQ,1670338644,12299076,414934680
6,JJ,1618339604,13277356,465955440
6,TT,1566053110,14746566,516772724
6,99,1503238936,16428186,577905278
6,88,1441396848,18695790,637479762
4,AKs,1389004215,34610976,673957209
6,77,1378636878,21423310,697512212
4,AQs,1370002117,37553414,690016869
4,AJs,1350786717,41744140,705041543
12,AKo,1352291878,35687839,709592683
4,ATs,1331725962,46711746,719134692
12,AQo,1332142795,38723369,726706236
12,AJo,1311720573,43129563,742722264
4,KQs,1309061790,41615142,746895468
6,66,1315178390,24530044,757863966
4,A9s,1290209940,53342951,754019509
12,ATo,1291435142,48393949,757743309
4,KJs,1289515286,45759944,762297170
4,A8s,1269195105,60242341,768134954
4,KTs,1270857555,50404375,776310470
12,KQo,1267610255,42939290,787022855
4,A7s,1245678450,67008466,784885484
12,A9o,1247001366,55504495,795066539
12,KJo,1246822903,47298240,803451257
6,55,1250992922,28731922,817847556
4,QJs,1239054394,49852123,808665883
4,K9s,1229977429,56648553,810946418
4,A5s,1217936943,77979612,801655845
4,A6s,1220344506,72447218,804780676
12,A8o,1224440175,62862129,810270096
12,KTo,1226959959,52214074,818398367
4,QTs,1220171285,54407652,822993463
4,A4s,1198506708,79533094,819532598
12,A7o,1199171976,70129398,828271026
4,K8s,1191219968,63847580,842504852
4,A3s,1181668536,79089680,836814184
12,QJo,1193649409,51535593,852387398
12,K9o,1183191163,58911625,855469612
12,A5o,1169234974,81983213,846354213
12,A6o,1171920110,76022178,849630112
4,Q9s,1179313858,60474078,857784464
4,K7s,1171417014,70957375,855198011
4,JTs,1177887186,57602534,862082680
4,A2s,1164284001,78559848,854728551
12,QTo,1173537003,56357281,867678116
6,44,1180021110,32147698,885403592
12,A4o,1148061584,83768953,865741863
4,K6s,1149567662,77025547,870979191
12,K8o,1141742922,66641512,889187966
4,Q8s,1141436364,67152284,888983752
12,A3o,1129654161,83453609,884464630
4,K5s,1129204024,82185635,886182741
4,J9s,1135038051,65045137,897489212
12,Q9o,1129794528,62861351,904916521
12,JTo,1129039428,59642287,908890685
12,K7o,1120467131,74254989,902850280
12,A2o,1110608066,83116441,903847893
4,K4s,1109381784,83726409,904464207
4,Q7s,1101718156,74622259,921231985
12,K6o,1096969965,80805137,919797298
4,K3s,1092208613,83267308,922096479
4,T9s,1098642842,69247375,929682183
4,J8s,1097274797,71484894,928812709
6,33,1108341244,35819814,953411342
4,Q6s,1084009562,81105669,932457169
12,Q8o,1089280295,70028300,938263805
12,K5o,1075088026,86422307,936062067
12,J9o,1083173398,67618021,946780981
4,K2s,1074795095,82718864,940058441
4,Q5s,1063751334,86250529,947570537
4,T8s,1059465943,76570746,961535711
12,K4o,1053508976,88195273,955868151
4,J7s,1058318785,78462767,960790848
4,Q4s,1043815735,87773537,965983128
12,Q7o,1046780178,78084287,972707935
12,T9o,1044920282,71987711,980664407
12,J8o,1042779957,74526982,980265461
12,K3o,1034758983,87864179,974949238
12,Q6o,1027737078,85058721,984776601
4,Q3s,1026518567,87294132,983759701
4,98s,1024795719,81573810,991202871
4,T7s,1020494848,83391254,993686298
4,J6s,1018879951,85231180,993461269
12,K2o,1015702916,87508267,994361217
6,22,1035889822,39805340,1021877238
4,Q2s,1008970414,86722846,1001879140
12,Q5o,1005974746,90660555,1000937099
4,J5s,1003078936,90862846,1003630618
12,T8o,1003019374,79840679,1014712347
12,J7o,1001090143,82048768,1014433489
12,Q4o,984280928,92415629,1020875843
4,97s,985655348,89249246,1022667806
4,J4s,983104243,92368088,1022100069
4,T6s,981668027,89796157,1026108216
4,J3s,965759044,91868379,1039944977
12,Q3o,965405538,92064087,1040102775
12,98o,966316620,85106929,1046148851
4,87s,958257237,94484411,1044830752
12,T7o,961312472,87190712,1049069216
12,J6o,958874577,89387379,1049310444
4,96s,947078416,95528642,1054965342
4,J2s,948153923,91274251,1058144226
12,Q2o,946213445,91685171,1059673784
4,T5s,942628592,95533249,1059410559
12,J5o,941907501,95491577,1060173322
4,T4s,927212359,97596865,1072763176
12,97o,924443362,93373294,1079755744
4,86s,919124997,101722112,1076725291
12,J4o,920178475,97228759,1080165166
12,T6o,919746160,94133959,1083692281
4,95s,908515397,101068049,1087988954
4,T3s,909895095,97076852,1090600453
4,76s,898379280,106652749,1092540371
12,J3o,901258949,96856769,1099456682
12,87o,895522755,98901298,1103148347
4,T2s,892310673,96459882,1108801845
4,85s,880780296,107166353,1109625751
12,96o,883149152,100178053,1114245195
12,J2o,882013792,96454849,1119103759
12,T5o,877990854,100409701,1119171845
4,94s,868544377,102984434,1126043589
4,75s,859564300,113123404,1124884696
12,T4o,861166500,102727325,1133678575
4,93s,855951949,103094363,1138526088
12,86o,853640324,106737798,1137194278
4,65s,846332445,116843119,1134396836
4,84s,841184813,109025471,1147362116
12,95o,841896769,106238788,1149436843
12,T3o,842284099,102334887,1152953414
4,92s,838461663,102454551,1156656186
12,76o,831767413,111965689,1153839298
4,74s,820337671,114963889,1162270840
12,T2o,823068840,101909963,1172593597
4,54s,808247748,122535513,1166789139
12,85o,812626207,112692288,1172253905
4,64s,807166360,119659864,1170746176
4,83s,803004465,108693752,1185874183
12,94o,798877137,108455313,1190239950
12,75o,790253778,119028199,1188290423
4,82s,790348964,108755450,1198467986
4,73s,782469104,114627274,1200476022
12,93o,785077590,108721395,1203773415
12,65o,776369338,122982645,1198220417
4,53s,771039857,123097534,1203435009
4,63s,769503449,119483186,1208585765
12,84o,770001459,114847103,1212723838
12,92o,765970787,108273467,1223328146
4,43s,749407203,122271282,1225893915
12,74o,748030580,121159938,1228381882
4,72s,743376257,113942467,1240253676
12,54o,735719749,129230044,1232622607
12,64o,734213031,126168959,1237190410
4,52s,732672291,122489533,1242410576
4,62s,730742786,118782017,1248047597
12,83o,728903246,114693723,1253975431
4,42s,711453440,122123616,1263995344
12,82o,714995931,114982393,1267594076
12,73o,707257588,121002505,1269312307
12,53o,695659494,130040672,1271872234
12,63o,693662773,126183313,1277726314
4,32s,694128063,121342843,1282101494
12,43o,672613963,129193193,1295765244
12,72o,665146081,120541920,1311884399
12,52o,654312693,129665137,1313594570
12,62o,651897304,125706786,1319968310
12,42o,631734409,129308773,1336529218
12,32o,613318625,128529945,1355723830