Hand,Combos,LJ open 2,HJ open 2,CO open 2.3,BTN open 2.5,SB open 3,SB limp,BB open 5 vs SB,BB open 3 vs SB,HJ 3b 6.5 vs LJ,CO 3b 6.5 vs LJ,CO call vs LJ,BTN 3b 7.5 vs LJ,BTN call vs LJ,SB 3b 10 vs LJ,SB call vs LJ,BB 3b 12 vs LJ,BB call vs LJ,CO 3b 6.5 vs HJ,CO call vs HJ,BTN 3b 7.5 vs HJ,BTN call vs HJ,SB 3b 11 vs HJ,SB call vs HJ,BB 3b 12.3 vs HJ,BB call vs HJ,BTN 3b 7.5 vs CO,BTN call vs CO,SB 3b 11.5 vs CO,SB call vs CO,BB 3b 13.5 vs CO,BB call vs CO,SB 3b 12 vs BTN,SB call vs BTN,BB 3b 13 vs BTN,BB call vs BTN,BB 3b 10 vs SB,BB call vs SB,SB 3b 18 vs BB 5,SB call vs BB 5,SB 3b 14 vs BB 3,SB call vs BB 3,"BTN 3b 9.5 vs LJ, CO","BTN call vs LJ, CO","SB 3b 12 vs LJ, CO","SB call vs LJ, CO","BB 3b 14 vs LJ, CO","BB call vs LJ, CO","SB 3b 13 vs LJ, BTN","SB call vs LJ, BTN","BB 3b 14 vs LJ, BTN","BB call vs LJ, BTN","BB 3b 11 vs LJ, SB","BB call vs LJ, SB","BTN 3b 9.5 vs HJ, CO","BTN call vs HJ, CO","SB 3b 13 vs HJ, CO","SB call vs HJ, CO","BB 3b 13.5 vs HJ, CO","BB call vs HJ, CO","SB 3b 13 vs HJ, BTN","SB call vs HJ, BTN","BB 3b 13.5 vs HJ, BTN","BB call vs HJ, BTN","BB 3b 11 vs HJ, SB","BB call vs HJ, SB","SB 3b 12.5 vs CO, BTN","SB call vs CO, BTN","BB 3b 14 vs CO, BTN","BB call vs CO, BTN","BB 3b 11 vs BTN, SB","BB call vs BTN, SB","SB jam vs LJ, CO, BTN","SB 3b 15 vs LJ, CO, BTN","SB call vs LJ, CO, BTN","BB jam vs LJ, CO, BTN","BB 3b 14 vs LJ, CO, BTN","BB call vs LJ, CO, BTN","BB jam vs LJ, CO, SB","BB 3b 14 vs LJ, CO, SB","BB call vs LJ, CO, SB","BB 3b 14 vs LJ, BTN, SB","BB call vs LJ, BTN, SB","SB jam vs HJ, CO, BTN","SB 3b 15 vs HJ, CO, BTN","SB call vs HJ, CO, BTN","BB jam vs HJ, CO, BTN","BB 3b 15 vs HJ, CO, BTN","BB call vs HJ, CO, BTN","BB 3b 15 vs HJ, CO, SB","BB call vs HJ, CO, SB","BB 3b 14.5 vs HJ, BTN, SB","BB call vs HJ, BTN, SB","BB jam vs CO, BTN, SB","BB 3b 14 vs CO, BTN, SB","BB call vs CO, BTN, SB","BB jam vs LJ, CO, BTN, SB","BB 3b 15 vs LJ, CO, BTN, SB","BB call vs LJ, CO, BTN, SB","BB jam vs HJ, CO, BTN, SB","BB 3b 16 vs HJ, CO, BTN, SB","BB call vs HJ, CO, BTN, SB"
AA,6,1,1,1,1,0.855,0.145,0.575,0.425,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.146,0,0.146,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0
KK,6,1,1,1,1,0.765,0.235,0.415,0.585,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.236,0,0.236,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0
QQ,6,1,1,1,1,0.84,0.16,0.545,0.455,1,0.85,0.15,0.705,0.295,0.78,0.22,0.655,0.345,0.97,0.03,0.92,0.08,0.92,0.08,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.16,0,0.16,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.005,0.995,0,0.045,0.955,0,0,1,0,1,0,0.07,0.93,0,0.01,0.99,0,1,0,1,0,0,1,0,0,1,0,0,1,0
JJ,6,1,1,1,1,0.82,0.18,0.65,0.35,1,0.785,0.215,0.475,0.525,0.64,0.36,0.13,0.87,0.9,0.1,0.545,0.455,0.665,0.335,0.085,0.915,0.824,0.176,0.984,0.016,1,0,1,0,1,0,1,0,0.18,0,0.18,0,0.515,0.485,0.78,0.22,0.41,0.59,0.83,0.17,0.53,0.47,0.71,0.29,0.86,0.14,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0.905,0.095,0,1,0,0,1,0,1,0,0.02,0.98,0,0,1,0,1,0,1,0,0.062,0.938,0,0.07,0.93,0,0.05,0.895,0.055
TT,6,1,1,1,1,0.81,0.19,0.545,0.455,1,0.68,0.32,0.355,0.645,0.375,0.625,0.035,0.965,0.865,0.135,0.48,0.52,0.41,0.59,0,1,0.606,0.394,0.83,0.17,0.392,0.608,0.955,0.045,1,0,1,0,0.19,0,0.19,0,0.34,0.66,0.265,0.735,0.085,0.915,0.28,0.72,0,1,0.06,0.94,0.46,0.54,0.39,0.61,0.09,0.91,0.53,0.47,0.265,0.735,0.52,0.48,1,0,1,0,1,0,0,0.295,0.705,0,0.26,0.74,0,0.15,0.85,0.36,0.64,0,0.68,0.32,0,0.765,0.235,0.57,0.43,0.895,0.105,0,1,0,0,0.105,0.895,0,0.44,0.56
99,6,1,1,1,1,0.75,0.25,0.62,0.38,0.765,0.575,0.425,0.175,0.825,0.245,0.755,0,1,0.79,0.21,0.295,0.705,0.225,0.775,0,1,0.532,0.468,0.742,0.258,0.044,0.956,0.87,0.13,0.71,0.29,0.41,0.59,0.05,0.2,0.068,0.182,0.325,0.675,0.22,0.78,0,1,0.155,0.845,0,1,0,1,0.4,0.6,0.255,0.745,0.1,0.9,0.25,0.75,0,1,0.055,0.945,0.688,0.312,0.204,0.796,1,0,0,0.09,0.91,0,0,1,0,0,1,0,1,0,0.265,0.735,0,0.1,0.9,0,1,0,1,0,0.802,0.198,0,0,1,0,0.115,0.885
88,6,1,1,1,1,0.665,0.335,0.46,0.54,0.41,0.565,0.435,0.2,0.8,0.185,0.815,0,1,0.785,0.215,0.27,0.73,0.14,0.86,0,1,0.428,0.572,0.65,0.35,0,1,0.825,0.175,0.325,0.675,0.245,0.755,0.034,0.302,0.044,0.292,0.235,0.765,0.13,0.87,0,1,0.12,0.88,0,1,0,1,0.295,0.705,0.16,0.84,0,1,0.16,0.84,0,1,0,1,0.328,0.672,0.024,0.976,0.38,0.62,0,0,1,0,0,1,0,0,1,0,1,0,0.02,0.98,0,0,1,0,1,0,1,0,0.084,0.916,0,0.135,0.865,0,0.06,0.94
77,6,1,1,1,1,0.625,0.375,0.305,0.49,0.385,0.483,0.378,0.195,0.805,0.175,0.825,0,1,0.6726666667,0.1806666667,0.315,0.685,0.175,0.825,0,1,0.392,0.608,0.3946666667,0.3066666667,0.012,0.988,0.77,0.23,0.14,0.86,0.12,0.88,0.018,0.356,0.008,0.368,0.22,0.78,0.09,0.91,0,1,0.04,0.96,0,1,0,1,0.24,0.76,0.115,0.885,0,1,0.11,0.89,0,1,0,1,0.202,0.798,0,1,0.075,0.925,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0.095,0.905
66,6,1,1,1,1,0.615,0.385,0.23,0.435,0.27,0.315,0.275,0.25,0.75,0.155,0.845,0,1,0.4076666667,0.1306666667,0.315,0.685,0.165,0.835,0,1,0.42,0.58,0.292,0.238,0.032,0.968,0.294,0.194,0,1,0.09,0.91,0.022,0.364,0,0.386,0.125,0.875,0.035,0.965,0,1,0,1,0,1,0,1,0.205,0.795,0.02,0.98,0,1,0,1,0,1,0,1,0.134,0.866,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1
55,6,0.93,1,1,1,0.61,0.39,0.08,0.375,0.095,0.105,0.155,0.235,0.7,0.155,0.75,0,1,0.175,0.075,0.275,0.56,0.16,0.79,0,1,0.114,0.41,0.034,0.162,0.058,0.942,0,0.125,0,1,0,1,0,0.39,0,0.39,0.045,0.955,0,1,0,1,0,1,0,1,0,1,0.04,0.96,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0.99
44,6,0.355,0.755,1,1,0.625,0.375,0,0.285,0.115,0.1,0.11,0.205,0.58,0.055,0.61,0,1,0.124,0.05,0.22,0.425,0.01,0.665,0,1,0,0.296,0,0.13,0.012,0.988,0,0.09,0,1,0,1,0,0.308,0,0.376,0,0.8,0,1,0,1,0,1,0,1,0,1,0,0.93,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1
33,6,0.325,0.455,0.816,1,0.615,0.385,0,0.17,0.115,0.07,0.105,0.1203333333,0.5123333333,0,0.635,0,1,0.149,0.04,0.185,0.34,0,0.605,0,1,0,0.224,0,0.114,0,1,0,0.085,0,1,0,1,0,0.246,0,0.386,0,0.745,0,1,0,1,0,1,0,1,0,1,0,0.885,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1
22,6,0.355,0.405,0.774,1,0.605,0.395,0,0.145,0.075,0.02,0.109,0.09,0.565,0.03,0.73,0,1,0.045,0.035,0.065,0.335,0,0.61,0,1,0,0.206,0,0.114,0,1,0,0.1,0,1,0,1,0,0.18,0,0.396,0,0.775,0,1,0,1,0,1,0,1,0,1,0,0.945,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1
AKs,4,1,1,1,1,1,0,0.005,0.995,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0.005,0.995,0
AQs,4,1,1,1,1,0.92,0.08,0.505,0.495,1,0.795,0.205,0.52,0.48,1,0,0.525,0.475,0.92,0.08,0.71,0.29,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.08,0,0.08,0,0.83,0.17,1,0,1,0,1,0,1,0,1,0,0.95,0.05,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0.96,0.04,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1
AJs,4,1,1,1,1,1,0,0.45,0.55,1,0.705,0.295,0.52,0.48,0.715,0.285,0.255,0.745,0.79,0.21,0.36,0.64,0.925,0.075,0.315,0.685,0.472,0.528,0.992,0.008,0.322,0.678,0.935,0.065,1,0,1,0,0,0,0,0,0.65,0.35,0.78,0.22,0.69,0.31,0.93,0.07,0.915,0.085,1,0,0.605,0.395,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0.775,0.225,0,1,0,0,1,0,1,0,0,0.975,0.025,0,1,0,0.995,0.005,1,0,0,1,0,0,0.845,0.155,0,0,1
ATs,4,1,1,1,1,1,0,0.37,0.63,1,0.74,0.26,0.395,0.605,0.51,0.49,0.175,0.825,0.815,0.185,0.34,0.66,0.415,0.585,0.075,0.925,0.318,0.682,0.798,0.202,0,1,0.89,0.11,0.35,0.65,0.38,0.62,0,0,0,0,0.55,0.45,0.175,0.825,0.05,0.95,0.29,0.71,0.115,0.885,0.86,0.14,0.57,0.43,0.275,0.725,0.1,0.9,0.485,0.515,0.045,0.955,0.915,0.085,0.982,0.018,1,0,1,0,0,0,0.285,0,0,1,0,0.075,0.925,0.065,0.935,0,0,0.69,0,0.225,0.775,0.305,0.695,0.675,0.325,0,1,0,0,0,0.22,0,0.488,0.482
A9s,4,1,1,1,1,0.77,0.23,0.155,0.845,0.005,0.388,0.139,0.435,0.565,0.075,0.925,0.075,0.925,0.915,0.085,0.49,0.51,0.13,0.87,0.08,0.92,0.69,0.31,0.694,0.306,0.034,0.966,0.79,0.21,0,1,0,1,0.014,0.216,0.048,0.182,0.06,0,0,0.095,0,1,0,0.25,0,1,0,1,0.046,0.251,0,0.44,0,1,0,0.66,0,1,0.235,0.765,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0.945,0.005,0.925,0,1,0,0.074,0.926,0,0,0,0,0,0
A8s,4,1,1,1,1,0.795,0.205,0.3053333333,0.4353333333,0.13,0.27,0.095,0.52,0.48,0.3,0.7,0.06,0.94,0.17,0.065,0.445,0.555,0.25,0.75,0.15,0.85,0.648,0.352,0.548,0.258,0.1,0.9,0.785,0.215,0.16,0.84,0,1,0.008,0.198,0.06,0.144,0.2063333333,0.09633333333,0,0.265,0.14,0.86,0.01,0.495,0.13,0.87,0.085,0.915,0.15,0.165,0,0.255,0.165,0.835,0,0.495,0.025,0.975,0.075,0.925,0,0.57,0,1,0.225,0.775,0,0,0,0,0,1,0,0.055,0.945,0,1,0,0,0,0,0.015,0.615,0.066,0.918,0.005,0.995,0,0,1,0,0.22,0,0,0,0
A7s,4,1,1,1,1,0.665,0.335,0.12,0.215,0.105,0.11,0.03,0.615,0.385,0.27,0.39,0.03,0.97,0.055,0.005,0.68,0.32,0.48,0.52,0.03,0.97,0.76,0.24,0.008,0.122,0,1,0.835,0.165,0.04,0.96,0.36,0.64,0.028,0.306,0.022,0.314,0,0.185,0,0.205,0.035,0.965,0,0.25,0.16,0.84,0.095,0.905,0.04,0.214,0,0.195,0.08,0.92,0,0.36,0.03,0.97,0,1,0,0.272,0,1,0.2,0.8,0,0,0,0,0.01,0.99,0,0,1,0,1,0,0,0,0,0,0.995,0,0.98,0,1,0,0,1,0,0,0,0,0,0
A6s,4,1,1,1,1,0.55,0.45,0,0.035,0,0,0,0,0.075,0,0.155,0,1,0,0,0.341,0.231,0.02,0.5,0,1,0.878,0.122,0,0.05,0,1,0.187,0.09,0,1,0,1,0.06,0.39,0,0.45,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0.06,0,1,0,1,0,0.09,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0
A5s,4,1,1,1,1,0.715,0.285,0.625,0.375,1,0.765,0.235,0.47,0.53,0.475,0.525,0.19,0.81,0.88,0.12,0.565,0.435,0.56,0.44,0.15,0.85,0.736,0.264,0.862,0.138,0.65,0.35,0.935,0.065,1,0,1,0,0.014,0.27,0.202,0.082,0.64,0.36,0.615,0.385,0.35,0.65,0.585,0.415,0.31,0.69,0.39,0.61,0.72,0.28,0.5,0.5,0.42,0.58,0.565,0.435,0.335,0.665,0.705,0.295,0.416,0.584,0.174,0.826,0.675,0.325,0,0.385,0.475,0,0.235,0.765,0,0.315,0.685,0.325,0.675,0,0.21,0.305,0,0.11,0.89,0.32,0.68,0.24,0.76,0,0,1,0,0.005,0.995,0,0.22,0
A4s,4,1,1,1,1,0.655,0.345,0.635,0.365,0.725,0.665,0.185,0.57,0.43,0.515,0.485,0.165,0.835,0.905,0.095,0.6,0.4,0.505,0.495,0.17,0.83,0.616,0.384,0.792,0.208,0.042,0.958,0.88,0.12,0.475,0.525,0.99,0.01,0.036,0.308,0.098,0.246,0.53,0.47,0.4,0.6,0.3,0.7,0.41,0.59,0.255,0.745,0.345,0.655,0.57,0.43,0.435,0.565,0.135,0.865,0.39,0.61,0.195,0.805,0.16,0.84,0.042,0.564,0.074,0.926,0.515,0.485,0,0.02,0.595,0,0,1,0,0.015,0.985,0,1,0,0.075,0.81,0,0.005,0.995,0.14,0.86,0.02,0.98,0,0,1,0,0,1,0,0,0
A3s,4,1,1,1,1,0.535,0.465,0.35,0.225,0.16,0.25,0.11,0.505,0.495,0.327,0.427,0.245,0.755,0.445,0.04,0.64,0.36,0.6,0.4,0.02,0.98,0.39,0.314,0.134,0.096,0.158,0.842,0.15,0.08,0.145,0.855,0.36,0.64,0.066,0.4,0.032,0.432,0,0.475,0,0.57,0.135,0.865,0.13,0.415,0.13,0.87,0.18,0.82,0.015,0.53,0.195,0.43,0.06,0.94,0.155,0.38,0.195,0.805,0,1,0,0.186,0,1,0.135,0.865,0,0,1,0,0,1,0,0,1,0,1,0,0,0.925,0,0,1,0.005,0.995,0,1,0,0,1,0,0,1,0,0,0
A2s,4,0,1,1,1,0.325,0.675,0,0,0,0,0,0,0.07,0,0,0.32,0.68,0,0,0,0,0.135,0.03,0.245,0.755,0,0,0,0,0.156,0.844,0,0,0.1,0.9,0,1,0.19,0.486,0.074,0.6,0,0.1,0,0,0,1,0,0.055,0,1,0,1,0,0,0,0.15,0,1,0,0.015,0,1,0,1,0,0,0,1,0,1,0,0,0.355,0,0,1,0,0,1,0,1,0,0,0.225,0,0,1,0,1,0,1,0,0,1,0,0,0.445,0,0.165,0
KQs,4,1,1,1,1,1,0,0.405,0.595,1,0.725,0.275,0.455,0.545,0.91,0.09,0.17,0.83,0.86,0.14,0.385,0.615,0.85,0.15,0,1,0.548,0.452,0.978,0.022,0.314,0.686,0.925,0.075,1,0,1,0,0,0,0,0,0.595,0.405,1,0,1,0,1,0,1,0,1,0,0.655,0.345,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0.005,0.995,0,0,1,0,1,0,1,0,0.072,0.928,0,0.035,0.906,0.059,0.045,0.235,0.72
KJs,4,1,1,1,1,1,0,0.305,0.695,1,0.76,0.24,0.435,0.565,0.48,0.52,0.1,0.9,0.925,0.075,0.835,0.165,0.6,0.4,0.085,0.915,0.74,0.26,0.978,0.022,0.68,0.32,0.89,0.11,0.48,0.52,0.525,0.475,0,0,0,0,0.75,0.25,0.87,0.13,1,0,0.95,0.05,1,0,1,0,0.76,0.24,0.905,0.095,1,0,0.98,0.02,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0.95,0.05,0,1,0,1,0,1,0,0,1,0,0,0.81,0.19,0,0.14,0.86
KTs,4,1,1,1,1,1,0,0.375,0.625,1,0.78,0.22,0.26,0.74,0.535,0.465,0.4,0.6,0.875,0.125,0.525,0.475,0.465,0.535,0,1,0.622,0.378,0.816,0.184,0.48,0.52,0.88,0.12,0.45,0.55,0.51,0.49,0,0,0,0,0.44,0.56,0.555,0.445,0.47,0.53,0.585,0.415,0.55,0.45,0.955,0.045,0.53,0.47,0.63,0.37,0.635,0.365,0.66,0.34,0.84,0.16,1,0,0.96,0.04,1,0,1,0,0,0.875,0.125,0,0.775,0.225,0,0.705,0.295,0.715,0.285,0,0.83,0.17,0,0.96,0.04,0.98,0.02,0.99,0.01,0,1,0,0,0.327,0.633,0,0.915,0.045
