depth,position,hand,EV
2,LJ-2,JJ,1.8
2,LJ-2,TT,1.41
2,LJ-2,99,1.06
2,LJ-2,88,0.8
2,LJ-2,77,0.59
2,LJ-2,66,0.42
2,LJ-2,55,0.27
2,LJ-2,44,0.13
2,LJ-2,33,0.01
2,LJ-2,AKs,1.57
2,LJ-2,AQs,1.34
2,LJ-2,AJs,1.16
2,LJ-2,ATs,1
2,LJ-2,A9s,0.72
2,LJ-2,A8s,0.62
2,LJ-2,A7s,0.53
2,LJ-2,A6s,0.43
2,LJ-2,A5s,0.48
2,LJ-2,A4s,0.42
2,LJ-2,A3s,0.37
2,LJ-2,A2s,0.31
2,LJ-2,KQs,1.04
2,LJ-2,KJs,0.88
2,LJ-2,KTs,0.75
2,LJ-2,K9s,0.49
2,LJ-2,K8s,0.32
2,LJ-2,K7s,0.26
2,LJ-2,K6s,0.22
2,LJ-2,K5s,0.16
2,LJ-2,K4s,0.11
2,LJ-2,K3s,0.07
2,LJ-2,K2s,0.02
2,LJ-2,QJs,0.74
2,LJ-2,QTs,0.62
2,LJ-2,Q9s,0.39
2,LJ-2,Q8s,0.23
2,LJ-2,Q7s,0.1
2,LJ-2,Q6s,0.06
2,LJ-2,Q5s,0.02
2,LJ-2,JTs,0.57
2,LJ-2,J9s,0.36
2,LJ-2,J8s,0.21
2,LJ-2,J7s,0.07
2,LJ-2,T9s,0.36
2,LJ-2,T8s,0.22
2,LJ-2,T7s,0.07
2,LJ-2,98s,0.21
2,LJ-2,97s,0.1
2,LJ-2,87s,0.13
2,LJ-2,86s,0.02
2,LJ-2,76s,0.06
2,LJ-2,AKo,1.29
2,LJ-2,AQo,1.04
2,LJ-2,AJo,0.84
2,LJ-2,ATo,0.68
2,LJ-2,A9o,0.37
2,LJ-2,A8o,0.26
2,LJ-2,A7o,0.15
2,LJ-2,A6o,0.06
2,LJ-2,A5o,0.11
2,LJ-2,A4o,0.04
2,LJ-2,KQo,0.74
2,LJ-2,KJo,0.56
2,LJ-2,KTo,0.43
2,LJ-2,K9o,0.14
2,LJ-2,QJo,0.43
2,LJ-2,QTo,0.31
2,LJ-2,Q9o,0.06
2,LJ-2,JTo,0.26
2,LJ-2,J9o,0.03
2,LJ-2,T9o,0.04
2,LJ-1,JJ,1.83
2,LJ-1,TT,1.47
2,LJ-1,99,1.11
2,LJ-1,88,0.83
2,LJ-1,77,0.62
2,LJ-1,66,0.44
2,LJ-1,55,0.29
2,LJ-1,44,0.14
2,LJ-1,33,0.02
2,LJ-1,AKs,1.63
2,LJ-1,AQs,1.41
2,LJ-1,AJs,1.24
2,LJ-1,ATs,1.08
2,LJ-1,A9s,0.81
2,LJ-1,A8s,0.68
2,LJ-1,A7s,0.58
2,LJ-1,A6s,0.5
2,LJ-1,A5s,0.53
2,LJ-1,A4s,0.47
2,LJ-1,A3s,0.41
2,LJ-1,A2s,0.36
2,LJ-1,KQs,1.08
2,LJ-1,KJs,0.93
2,LJ-1,KTs,0.8
2,LJ-1,K9s,0.54
2,LJ-1,K8s,0.36
2,LJ-1,K7s,0.31
2,LJ-1,K6s,0.26
2,LJ-1,K5s,0.2
2,LJ-1,K4s,0.14
2,LJ-1,K3s,0.1
2,LJ-1,K2s,0.06
2,LJ-1,QJs,0.79
2,LJ-1,QTs,0.68
2,LJ-1,Q9s,0.44
2,LJ-1,Q8s,0.28
2,LJ-1,Q7s,0.13
2,LJ-1,Q6s,0.09
2,LJ-1,Q5s,0.04
2,LJ-1,JTs,0.63
2,LJ-1,J9s,0.4
2,LJ-1,J8s,0.23
2,LJ-1,J7s,0.1
2,LJ-1,T9s,0.38
2,LJ-1,T8s,0.24
2,LJ-1,T7s,0.1
2,LJ-1,98s,0.21
2,LJ-1,97s,0.11
2,LJ-1,87s,0.12
2,LJ-1,86s,0.01
2,LJ-1,76s,0.05
2,LJ-1,AKo,1.37
2,LJ-1,AQo,1.13
2,LJ-1,AJo,0.94
2,LJ-1,ATo,0.78
2,LJ-1,A9o,0.48
2,LJ-1,A8o,0.34
2,LJ-1,A7o,0.24
2,LJ-1,A6o,0.14
2,LJ-1,A5o,0.18
2,LJ-1,A4o,0.11
2,LJ-1,A3o,0.05
2,LJ-1,KQo,0.79
2,LJ-1,KJo,0.62
2,LJ-1,KTo,0.49
2,LJ-1,K9o,0.21
2,LJ-1,K8o,0.01
2,LJ-1,QJo,0.5
2,LJ-1,QTo,0.38
2,LJ-1,Q9o,0.12
2,LJ-1,JTo,0.32
2,LJ-1,J9o,0.08
2,LJ-1,T9o,0.08
2,LJ,JJ,1.88
2,LJ,TT,1.53
2,LJ,99,1.18
2,LJ,88,0.88
2,LJ,77,0.65
2,LJ,66,0.48
2,LJ,55,0.31
2,LJ,44,0.15
2,LJ,33,0.02
2,LJ,AKs,1.69
2,LJ,AQs,1.47
2,LJ,AJs,1.3
2,LJ,ATs,1.16
2,LJ,A9s,0.9
2,LJ,A8s,0.76
2,LJ,A7s,0.67
2,LJ,A6s,0.57
2,LJ,A5s,0.6
2,LJ,A4s,0.53
2,LJ,A3s,0.48
2,LJ,A2s,0.43
2,LJ,KQs,1.11
2,LJ,KJs,0.98
2,LJ,KTs,0.87
2,LJ,K9s,0.61
2,LJ,K8s,0.41
2,LJ,K7s,0.36
2,LJ,K6s,0.3
2,LJ,K5s,0.24
2,LJ,K4s,0.19
2,LJ,K3s,0.15
2,LJ,K2s,0.1
2,LJ,QJs,0.83
2,LJ,QTs,0.72
2,LJ,Q9s,0.48
2,LJ,Q8s,0.31
2,LJ,Q7s,0.16
2,LJ,Q6s,0.12
2,LJ,Q5s,0.07
2,LJ,Q4s,0.02
2,LJ,JTs,0.67
2,LJ,J9s,0.43
2,LJ,J8s,0.27
2,LJ,J7s,0.13
2,LJ,T9s,0.42
2,LJ,T8s,0.26
2,LJ,T7s,0.12
2,LJ,98s,0.24
2,LJ,97s,0.1
2,LJ,87s,0.12
2,LJ,86s,0.01
2,LJ,76s,0.02
2,LJ,AKo,1.44
2,LJ,AQo,1.22
2,LJ,AJo,1.03
2,LJ,ATo,0.88
2,LJ,A9o,0.59
2,LJ,A8o,0.45
2,LJ,A7o,0.34
2,LJ,A6o,0.23
2,LJ,A5o,0.26
2,LJ,A4o,0.19
2,LJ,A3o,0.14
2,LJ,A2o,0.08
2,LJ,KQo,0.85
2,LJ,KJo,0.7
2,LJ,KTo,0.57
2,LJ,K9o,0.3
2,LJ,K8o,0.09
2,LJ,K7o,0.03
2,LJ,QJo,0.56
2,LJ,QTo,0.45
2,LJ,Q9o,0.18
2,LJ,JTo,0.39
2,LJ,J9o,0.13
2,LJ,T9o,0.12
10,LJ-2,99,1.57
10,LJ-2,88,1.16
10,LJ-2,77,0.77
10,LJ-2,66,0.44
10,LJ-2,55,0.21
10,LJ-2,44,0.09
10,LJ-2,AQs,1.87
10,LJ-2,AJs,1.19
10,LJ-2,ATs,0.7
10,LJ-2,A9s,0.31
10,LJ-2,A8s,0.18
10,LJ-2,A7s,0.09
10,LJ-2,A6s,0.01
10,LJ-2,A5s,0.09
10,LJ-2,A4s,0.03
10,LJ-2,KQs,0.65
10,LJ-2,KJs,0.41
10,LJ-2,KTs,0.31
10,LJ-2,K9s,0.06
10,LJ-2,QJs,0.34
10,LJ-2,QTs,0.26
10,LJ-2,Q9s,0.01
10,LJ-2,JTs,0.26
10,LJ-2,J9s,0.02
10,LJ-2,T9s,0.07
10,LJ-2,AQo,1.57
10,LJ-2,AJo,0.83
10,LJ-2,ATo,0.31
10,LJ-2,KQo,0.25